PovaCP423,Apen,10.75418,47.38533,0.99997,1.00E-05,1.00E-05,1.00E-05
PspCP5,Apen,9.3335,45.92669444,0.99997,1.00E-05,1.00E-05,1.00E-05
PspD1,Apen,9.2516666,44.688888,0.99997,1.00E-05,1.00E-05,1.00E-05
PspD16,Apen,10.887777778,51.761111111,0.7957635,0.176863,1.00E-05,0.0273635
PspD54,Apen,6.35,50.496388889,0.9842915,0.0156885,1.00E-05,1.00E-05
PspD56,Apen,10.633333333,44.148888889,0.99997,1.00E-05,1.00E-05,1.00E-05
PspGMS158,Apen,8.948611,48.123056,0.851277,0.10866125,0.04005125,1.05E-05
PspGMS159,Apen,9.396111,53.330556,0.82050025,0.17947975,1.00E-05,1.00E-05
PspGMS213,Apen,7.421389,46.351944,0.947369,1.00E-05,0.052611,1.00E-05
PspGMS241,Apen,12.612778,50.371111,0.538948,0.27155825,1.00E-05,0.18948375
PspCP969,Balk,19.0861111,43.1330556,1.03E-05,0.016434,1.00E-05,0.98354575
PspD59,Balk,16.202234,48.211994,0.2768145,0.19681475,1.00E-05,0.52636075
PspGMS163,Balk,15.1575,44.523889,1.00E-05,1.00E-05,1.00E-05,0.99997
PspGMS166,Balk,14.6,45.383333,1.00E-05,1.00E-05,1.00E-05,0.99997
PspGMS228,Balk,12.369444,46.660833,0.03557725,1.00E-05,1.00E-05,0.96440275
PspGMS235,Balk,14.951111,46.810278,0.02804125,0.014214,0.0175545,0.94019025
PspD14,Carp,23.9741666,49.8941667,0.00084125,0.95538975,0.043759,1.00E-05
PspD37,Carp,24.9617361,47.7708694,1.00E-05,0.99997,1.00E-05,1.00E-05
PspD74,Carp,18.2,54.616666,1.00E-05,0.720514,0.02024375,0.25923225
PspGMS244,Carp,17.238889,50.070833,1.00E-05,0.88215,0.01806625,0.09977375
PspPS2,Carp,20.3427777,49.225,1.00E-05,0.99997,1.00E-05,1.00E-05
PspPS4,Carp,19.645,48.9266667,1.00E-05,0.99997,1.00E-05,1.00E-05
PovaGMS149,West,7.661667,43.993056,0.05629325,1.00E-05,0.94368675,1.00E-05
Psp2791,West,2.0097967,42.6699967,1.00E-05,1.00E-05,0.99997,1.00E-05
PspGMS122,West,0.978889,49.295278,1.00E-05,1.03E-05,0.999969666666667,1.00E-05
PspGMS124,West,4.414444,46.887222,1.18E-05,1.00E-05,0.99996825,1.00E-05
PspGMS130,West,2.571944,45.220556,1.00E-05,1.00E-05,0.99997,1.00E-05
PspGMS138,West,3.615278,44.344167,1.00E-05,1.00E-05,0.99997,1.00E-05
