nr,group,pop,CoordLat,CoordLong,plotLat,plotLong,AverK4_1,AverK4_2,AverK4_3,AverK4_4
1,WEST,Psp2791,42.6699967,2.0097967,41.6699967,1.5097967,0.028733,0.96608125,0.00517575,1E-05
2,WEST,Psp2812,42.7005,2.051,43.2005,2.551,0.015682,0.95463125,0.01992625,0.0097605
3,WEST,PspCP158,42.0202778,2.4675,41.0202778,2.4675,1E-05,0.967209,1E-05,0.032771
4,WEST,PspGMS122,49.295278,0.978889,49.295278,0.978889,1E-05,0.979585333333333,0.01283,0.007574666666667
5,WEST,PspGMS124,46.887222,4.414444,46.887222,4.414444,0.02094125,0.9452375,0.029347,0.00447425
6,WEST,PspGMS130,45.220556,2.571944,45.220556,1.571944,0.0149665,0.97056525,0.01445825,1E-05
7,WEST,PspGMS132,45.103611,2.687222,45.103611,3.687222,0.112607,0.885351,0.00203225,9.75E-06
8,WEST,PspGMS138,44.344167,3.615278,43.344167,4.115278,0.021855,0.9769135,0.0012215,1E-05
9,WEST,PspGMS196,46.956944,6.723333,46.956944,6.723333,0.26244925,0.47213475,0.11949275,0.14592325
10,WEST,PspP615,42.487727,2.319543,42.487727,3.319543,1E-05,0.99997,1E-05,1E-05
11,ALPS,PovaCP18,45.93827,9.38158,45.43827,10.38158,0.99997,1E-05,1E-05,1E-05
12,ALPS,PovaCP423,47.38533,10.75418,47.88533,11.75418,0.7794125,0.05440675,0.042339,0.12384175
13,ALPS,PovaGMS149,43.993056,7.661667,43.993056,7.661667,0.68748925,0.31249075,1E-05,1E-05
14,ALPS,PspCP426,47.4249722,10.6368333,46.9249722,10.0368333,0.534922,0.103493,0.13397575,0.22760925
15,ALPS,PspCP5,45.92669444,9.3335,45.42669444,8.3335,0.99997,1E-05,1E-05,1E-05
16,ALPS,PspD1,44.688888,9.2516666,44.688888,9.2516666,0.99996975,1E-05,1.03E-05,1E-05
17,ALPS,PspD47,44.406111111,9.996111111,43.906111111,9.496111111,0.99997,1E-05,1E-05,1E-05
18,ALPS,PspD56,44.148888889,10.633333333,43.648888889,10.633333333,0.97418575,1E-05,0.0134825,0.01232175
19,ALPS,PspGMS186,44.926667,6.710556,44.926667,6.710556,0.51503925,0.469323,0.01562775,1E-05
20,ALPS,PspGMS213,46.351944,7.421389,46.351944,7.421389,0.66886425,0.16521725,0.03392025,0.13199825
21,EAST,PspD14,49.8941667,23.9741666,49.8941667,23.9741666,0.0268355,0.05254,0.009124,0.9115005
22,EAST,PspD16,51.761111111,10.887777778,51.261111111,9.887777778,0.2605895,0.08887975,0.223234,0.42729675
23,EAST,PspD18,53.606111111,13.174722222,53.606111111,13.174722222,0.180808,0.05819925,0.2460305,0.51496225
24,EAST,PspD37,47.7708694,24.9617361,47.7708694,24.9617361,0.00046125,1E-05,1E-05,0.99951875
25,EAST,PspD54,50.496388889,6.35,50.996388889,7.35,0.336295,0.20671475,0.05385175,0.4031385
26,EAST,PspD74,54.616666,18.2,54.616666,18.2,1E-05,0.03960125,0.3171095,0.64327925
27,EAST,PspGMS158,48.123056,8.948611,48.123056,8.948611,0.2363955,0.20754325,0.15569125,0.40037
28,EAST,PspGMS159,53.330556,9.396111,54.030556,9.396111,0.21479175,0.1755075,0.18280225,0.4268985
29,EAST,PspGMS241,50.371111,12.612778,51.071111,13.312778,0.18937975,0.03454575,0.32982575,0.44624875
30,EAST,PspGMS244,50.070833,17.238889,50.070833,17.238889,1E-05,0.0349645,0.18995975,0.77506575
31,EAST,PspPS2,49.225,20.3427777,49.225,20.3427777,1E-05,1E-05,1E-05,0.99997
32,EAST,PspPS4,48.9266667,19.645,48.4266667,19.145,1.13E-05,1.13E-05,1E-05,0.9999675
33,SOUTH,PspCP969,43.1330556,19.0861111,43.1330556,19.0861111,1E-05,0.001613,0.97283,0.025547
34,SOUTH,PspD59,48.211994,16.202234,48.211994,16.202234,0.0821285,0.06888225,0.61901825,0.229971
35,SOUTH,PspGMS163,44.523889,15.1575,44.523889,15.1575,1E-05,1E-05,0.99997,1E-05
36,SOUTH,PspGMS166,45.383333,14.6,45.383333,14.6,0.0415705,0.01350425,0.9449155,9.75E-06
37,SOUTH,PspGMS171,47.526944,14.6075,47.526944,14.6075,0.07352075,1E-05,0.81430325,0.112166
38,SOUTH,PspGMS228,46.660833,12.369444,46.160833,11.869444,0.09591025,1E-05,0.90406975,1E-05
39,SOUTH,PspGMS231,46.956667,13.053056,46.956667,13.053056,1E-05,0.0080865,0.9843315,0.007572
40,SOUTH,PspGMS235,46.810278,14.951111,46.810278,14.951111,0.02250325,0.033464,0.93833225,0.0057005
41,SOUTH,PspGMS242,49.678056,15.835556,49.678056,15.835556,0.01776975,1E-05,0.811578,0.17064225
